Creation Time,Marketplace Type,Service Category,Location,Questions and Answers,Preferred Providers,Status
Sat Oct 27 11:37:04 UTC 2018,SERVICE_MARKETPLACE,Business Analytics,28150,1. What type of business analytics services? Creating dashboards / visualizing data 2. What field most closely aligns with your business? IT / Technology 3. What is the scope of this project? One time project 4. When do you need this completed by? Within the next two weeks 5. How would you like to work with the business analyst? I am comfortable working virtually 6. Any other details about your business analytics project? I am college students but I create so many dashboard and also generated reports to college with the help of R language regarding admission data so I am good in data understand and I know what data say,,REJECTED
Sat Oct 27 11:30:24 UTC 2018,SERVICE_MARKETPLACE,Resume Writing,28150,1. What type of resume? LinkedIn profile 2. What stage of resume writing are you in? I need revisions to an existing resume 3. Where are you in your career? Diploma Computer science 4. Which industries are you focused on? Technology 5. How would you like to work with the resume writer? I am comfortable working virtually 6. What are your goals in seeking a resume writer? Anything else the resume writer should know? (Optional) I am good resume writer,,REJECTED
