Login Date,IP Address,User Agent,Login Type
Sat Apr 06 11:32:14 UTC 2019,106.219.68.53,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.263 motorola_Moto G (5S):android_8.1.0,Login
Wed Mar 20 15:06:37 UTC 2019,27.63.165.125,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.263 motorola_Moto G (5S):android_8.1.0,Login
Thu Mar 26 07:43:55 UTC 2020,2402:8100:2046:de7c:7d00:590e:7e20:b579,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",Login
Thu Mar 26 05:43:28 UTC 2020,2402:8100:2043:8f10:bd9a:3a29:1238:6789,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36",Login
Wed Mar 18 16:50:06 UTC 2020,2402:8100:2042:d48d:5a87:5af9:59d:7818,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.425 motorola_Moto G (5S):android_8.1.0,Login
Tue Mar 19 05:06:53 UTC 2019,27.63.165.240,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.263 motorola_Moto G (5S):android_8.1.0,Login
Thu Jul 09 07:23:55 UTC 2020,2401:4900:416f:1329:1cf2:ad6c:acb3:4f27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36",Login
Thu Oct 08 04:59:53 UTC 2020,2401:4900:4162:3fcf:1d86:5099:407a:39f,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",Login
Thu Jan 17 10:28:00 UTC 2019,103.196.213.4,Mozilla/5.0 (Windows NT 10.0; rv:60.0) Gecko/20100101 Firefox/60.0,Login
Wed Mar 13 08:23:22 UTC 2019,103.196.213.165,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",Login
Fri Aug 07 06:41:56 UTC 2020,2401:4900:417d:eb9b:7cdc:7701:59fb:33ef,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.467 motorola_Moto G (5S):android_8.1.0,Login
Tue Oct 06 05:39:27 UTC 2020,2401:4900:417a:c9ff:a0f9:3104:67af:9a02,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36",Login
Fri Sep 04 03:42:38 UTC 2020,2401:4900:416d:3ff1:7473:436:7755:14b6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.135 Safari/537.36",Login
Fri Jul 17 09:08:56 UTC 2020,2401:4900:4167:d9e:1fa:8b6b:923b:d75f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36",Login
Tue Apr 02 10:21:06 UTC 2019,106.210.18.228,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 Safari/537.36",Login
