Company Name,Title,Description,Location,Started On,Finished On
Alphaa AI,Alphaa AI Fellowship Program,,"Delhi, India",Nov 2020,
GLA University,Computer Science Student,,"Mathura, Uttar Pradesh",Aug 2016,
Vaaan Infra PrivateLimited,Database Administrator,,,Jul 2019,Aug 2019
GLA University,Student,,"Mathura, Uttar Pradesh",Aug 2016,Aug 2019
