Event Name,Event Time,Status,External Url
Alphaa AI Data Track 3 : Learning and Writing SQL using AI (Natural SQL),"Aug 08, 2020 01:30 PM - Aug 08, 2020 02:30 PM",ATTENDING,
Free Quiz on Civil Design,"Nov 21, 2020 03:30 AM - Nov 22, 2020 03:30 PM",NOT_ATTENDING,https://forms.gle/stiBNgwR2v8efVz56
Online training on E-Commerce  ,"May 01, 2020 07:00 PM - May 03, 2020 09:00 PM",ATTENDING,http://www.ppdcagra.dcmsme.gov.in/upcoming.html
Intro to Modeltime for Time Series Forecasting,"Jul 29, 2020 05:00 PM - Jul 29, 2020 06:30 PM",ATTENDING,https://tinyurl.com/y5zyjlc4
"Certification Programme on Lean Six Sigma Green Belt by Min. of MSME, GOI","Aug 08, 2020 12:00 PM - Aug 30, 2020 04:00 PM",NOT_ATTENDING,https://pages.razorpay.com/111LSSGBWEB
