Name,Url,Authority,Started On,Finished On,License Number
R,,NPTEL,,,
Big Data with Hadoop,,CETPA Infotech Pvt. ltd.,,,
Introduction to Git and GitHub,https://www.coursera.org/account/accomplishments/certificate/XTTD6DNDK5T5,Coursera,Jul 2020,,XTTD6DNDK5T5
The Data Scientist’s Toolbox,https://www.coursera.org/account/accomplishments/certificate/XPDJXEQ2BV4Q,Coursera,Jun 2020,,XPDJXEQ2BV4Q
Object-Oriented Programming with Java,https://www.coursera.org/account/accomplishments/certificate/DZWN2522LVZQ,Coursera,Jun 2020,,DZWN2522LVZQ
Foundational Artificial Intelligence,https://skillup.online/certificates/a09da4ff1b544e8c9391ded8da6cc503,SkillUp India,Jun 2020,,a09da4ff1b544e8c9391ded8da6cc503
