Ad clicked Date,Ad Title/Id
2020/09/10 14:17:16 UTC,107443304
2020/04/03 12:52:08 UTC,81039596
2020/07/17 07:42:42 UTC,106471733
2020/02/09 04:25:18 UTC,80043216
2019/07/20 15:20:39 UTC,69972096
2019/06/30 04:39:17 UTC,48632495
2020/02/09 04:26:15 UTC,80043216
2020/07/30 05:24:36 UTC,106471733
2019/03/14 16:45:58 UTC,47200555
2019/09/14 00:49:23 UTC,72841296
2019/06/08 03:05:46 UTC,80109493
2019/06/08 03:05:46 UTC,80109493
2020/10/06 03:11:05 UTC,87671686
2019/02/17 22:55:57 UTC,79831373
2019/09/14 00:48:30 UTC,72841296
2020/11/27 14:48:23 UTC,100442686
2020/04/19 09:17:09 UTC,52612235
2020/05/08 17:09:20 UTC,83731126
2020/08/07 05:04:59 UTC,94083474
2019/09/01 08:28:36 UTC,84864664
2020/04/05 06:59:21 UTC,99730403
2020/09/10 14:20:54 UTC,107443304
2020/04/20 15:05:54 UTC,83113426
2020/09/16 04:04:59 UTC,82940526
2020/09/16 04:04:58 UTC,82940526
2020/09/10 14:20:47 UTC,107443304
2020/04/22 02:06:34 UTC,82355176
2020/07/12 09:05:47 UTC,90063806
2020/07/12 09:06:15 UTC,90063806
2020/07/12 09:06:17 UTC,90063806
2020/07/12 09:06:04 UTC,90063806
2020/07/12 09:20:23 UTC,90063806
2020/07/12 09:21:44 UTC,90063806
2020/07/12 09:06:18 UTC,90063806
2019/05/15 03:22:14 UTC,83116393
2019/06/27 12:03:10 UTC,83518193
2020/08/28 05:22:14 UTC,91979006
2020/08/28 05:22:16 UTC,91979006
2020/08/28 05:22:15 UTC,91979006
2020/09/10 14:21:06 UTC,107443304
2020/07/09 07:21:07 UTC,89619184
2020/09/10 14:21:01 UTC,107443304
2020/04/22 02:06:38 UTC,82355176
2019/07/16 01:30:58 UTC,61378596
2020/09/10 14:20:55 UTC,107443304
2020/09/10 14:21:06 UTC,107443304
2020/09/10 14:20:33 UTC,107443304
2020/04/22 02:06:39 UTC,82355176
2019/07/20 10:01:43 UTC,86877023
2019/06/08 03:06:35 UTC,84697013
2019/06/10 01:29:14 UTC,84194923
2019/07/30 08:56:23 UTC,87348073
2020/07/17 07:38:53 UTC,106471733
2020/11/10 02:08:39 UTC,98275756
2020/11/10 02:08:39 UTC,98275756
2020/09/10 14:21:00 UTC,107443304
2019/06/29 15:51:14 UTC,82505114
2020/04/09 15:52:00 UTC,100759583
2019/08/09 16:21:46 UTC,42056306
2020/07/17 07:42:11 UTC,106471733
2020/07/30 05:24:35 UTC,106471733
