Title,Description,Issued On
"Best Project in National Level Competition ""Polpulation Forcast""","This ""Population Forecast"" provides an Understanding of the Population Growth of India with future forecast. for forecasting the future population we used the last 30 year data to get the result better. we also make an interactive dashboard for visualizing all future and past data with the help of R Language ",Mar 2019
Secure second rank in Diploma,"In 3 year Diploma in Computer Science and Engineering, I got second rank in GLA University with 91%age.",Jul 2019
